,support_tick_id,support_ticket_text,model_response_1,model_response_2,model_response_3,model_response_4,model_response_1_parsed,category,model_response_2_parsed,priority,ETA,model_response_3_parsed,sentiment,model_response_4_parsed,tags,summary,model_response_5
28,TF-2024-029,My account shows I have used 95% of my file storage but I have barely uploaded anything. I think there is a bug calculating storage usage. I do not want to be forced to upgrade unnecessarily.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P3"", ""ETA"": ""Within 24 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Storage"", ""Account Management"", ""Billing & Payment""], ""Summary"" : ""Customer reports storage usage issue.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P3', 'ETA': 'Within 24 hours'}",P3,Within 24 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Storage', 'Account Management', 'Billing & Payment'], 'Summary': 'Customer reports storage usage issue.'}","['Storage', 'Account Management', 'Billing & Payment']",Customer reports storage usage issue.,"{""first_response"":""Sorry for the inconvenience. We understand this issue is related to Technical Support & Bugs. We are working to resolve it. Expect an update within 24 hours. Warm regards, TaskFlow Customer Success Team""}"
29,TF-2024-030,"The task dependency feature is not working. When I mark a predecessor task as complete, the dependent task is not automatically unlocking. My team's workflow is completely blocked because of this.","{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Task Management"", ""Escalation"", ""Performance & Speed""], ""Summary"" : ""Task dependency feature is not working.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Task Management', 'Escalation', 'Performance & Speed'], 'Summary': 'Task dependency feature is not working.'}","['Task Management', 'Escalation', 'Performance & Speed']",Task dependency feature is not working.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we are treating this as urgent. We’re working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
30,TF-2024-031,I have been a TaskFlow customer for three years. Today I noticed all my custom project templates have disappeared. I spent weeks building these templates and they are critical to our operations. Please recover them.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Data Loss & Recovery"", ""Task Management"", ""Account Management""], ""Summary"" : ""Customer lost custom templates.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Data Loss & Recovery', 'Task Management', 'Account Management'], 'Summary': 'Customer lost custom templates.'}","['Data Loss & Recovery', 'Task Management', 'Account Management']",Customer lost custom templates.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
31,TF-2024-032,Can you add an AI assistant that can automatically suggest task assignments based on team member workload and skills? This would significantly improve how we allocate work across our team.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Task Management"", ""Account Management"", ""Feature Request""], ""Summary"" : ""Customer requests AI assistant.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Positive'},Positive,"{'Tags': ['Task Management', 'Account Management', 'Feature Request'], 'Summary': 'Customer requests AI assistant.'}","['Task Management', 'Account Management', 'Feature Request']",Customer requests AI assistant.,"{""first_response"":""Thank you for sharing your idea. We've received your feature request and a Product Specialist will be in touch within 48 hours. 

Warm regards, TaskFlow Customer Success Team""}"
32,TF-2024-033,We need HIPAA compliance documentation for TaskFlow. Our organization works with healthcare data and we cannot use any software without verified compliance certifications. Please send the relevant documentation.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Neutral"" }","{ ""Tags"" : [""Security & Compliance"", ""Account Management"", ""API & Developer""], ""Summary"" : ""Customer requests HIPAA compliance.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Neutral'},Neutral,"{'Tags': ['Security & Compliance', 'Account Management', 'API & Developer'], 'Summary': 'Customer requests HIPAA compliance.'}","['Security & Compliance', 'Account Management', 'API & Developer']",Customer requests HIPAA compliance.,"{""first_response"":""Thank you for reaching out. We understand this issue is related to Technical Support & Bugs and we are working to resolve it. We expect to share progress within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
33,TF-2024-034,"The comment tagging feature is broken. When I tag a team member using the @ symbol, they do not receive a notification. This is causing important feedback to go unnoticed on tasks.","{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Notifications"", ""Task Management"", ""Permissions & Access""], ""Summary"" : ""Customer experiences notification issue.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Notifications', 'Task Management', 'Permissions & Access'], 'Summary': 'Customer experiences notification issue.'}","['Notifications', 'Task Management', 'Permissions & Access']",Customer experiences notification issue.,"{""first_response"": ""Sorry for the inconvenience. We understand this issue is related to Technical Support & Bugs and we're treating this as urgent. We're working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
34,TF-2024-035,I cannot figure out how to set up project permissions so that clients can view tasks but not edit them. Is there a guest or view-only role available? I have looked through the settings but cannot find it.,"{ ""category"" : ""How-to & Guidance"" }","{ ""priority"" : ""P3"", ""ETA"": ""Within 24 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Permissions & Access"", ""Account Management"", ""Task Management""], ""Summary"" : ""Customer struggles with permissions setup.""}",{'category': 'How-to & Guidance'},How-to & Guidance,"{'priority': 'P3', 'ETA': 'Within 24 hours'}",P3,Within 24 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Permissions & Access', 'Account Management', 'Task Management'], 'Summary': 'Customer struggles with permissions setup.'}","['Permissions & Access', 'Account Management', 'Task Management']",Customer struggles with permissions setup.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to How-to & Guidance and we are working to provide a solution. We’ll get back to you within 24 hours. Warm regards, TaskFlow Customer Success Team""}"
35,TF-2024-036,TaskFlow sent me a renewal invoice for the wrong amount. Our contract specifies $299 per month but the invoice shows $399. Please correct this and send a revised invoice before our payment date.,"{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Billing & Payment"", ""Account Management"", ""Plan Upgrade / Downgrade""], ""Summary"" : ""Customer reports incorrect invoice amount.""}",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Billing & Payment', 'Account Management', 'Plan Upgrade / Downgrade'], 'Summary': 'Customer reports incorrect invoice amount.'}","['Billing & Payment', 'Account Management', 'Plan Upgrade / Downgrade']",Customer reports incorrect invoice amount.,"{""first_response"":""Sorry for the error. We understand this issue is related to Billing & Subscriptions. We are treating this as urgent and are working to resolve it. We expect to share a revised invoice within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
36,TF-2024-037,The desktop app for Windows is crashing on startup after the latest update. I have tried reinstalling three times. My entire team on Windows is affected. Mac users on our team are fine.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Desktop App"", ""Performance & Speed"", ""Account Management""], ""Summary"" : ""Desktop app crashes on startup.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Desktop App', 'Performance & Speed', 'Account Management'], 'Summary': 'Desktop app crashes on startup.'}","['Desktop App', 'Performance & Speed', 'Account Management']",Desktop app crashes on startup.,"{""first_response"": ""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs. We are treating this as urgent and are actively working to resolve it. Expect an update within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
37,TF-2024-038,We would find it very useful if TaskFlow could integrate with Microsoft Teams. Most of our communication happens there and having task notifications in Teams would greatly improve our team's adoption of TaskFlow.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Integration & Sync"", ""Notifications"", ""Feature Request""], ""Summary"" : ""Customer requests Microsoft Teams integration.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Positive'},Positive,"{'Tags': ['Integration & Sync', 'Notifications', 'Feature Request'], 'Summary': 'Customer requests Microsoft Teams integration.'}","['Integration & Sync', 'Notifications', 'Feature Request']",Customer requests Microsoft Teams integration.,"{""first_response"":""Thank you for sharing your valuable feedback. We understand this is a Feature Request and a Product Specialist will be in touch within 48 hours. 
Warm regards, TaskFlow Customer Success Team""}"
38,TF-2024-039,"I notice TaskFlow does not have two-factor authentication. Given that we store sensitive client project data, this is a security concern for our organization. Please let us know if this is on your roadmap.","{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Security & Compliance"", ""Feature Request"", ""Account Management""], ""Summary"" : ""Customer requests two-factor authentication.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Security & Compliance', 'Feature Request', 'Account Management'], 'Summary': 'Customer requests two-factor authentication.'}","['Security & Compliance', 'Feature Request', 'Account Management']",Customer requests two-factor authentication.,"{""first_response"":""Sorry for the concern this has caused. We understand this is a Feature Requests & Feedback issue. A Product Specialist will review your request within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
39,TF-2024-040,The CSV import function is not mapping columns correctly. I am trying to migrate 500 tasks from our old system and every import attempt scrambles the data. I have followed the template exactly.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Data Export & Import"", ""Task Management"", ""Integration & Sync""], ""Summary"" : ""Customer struggles with CSV import.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Data Export & Import', 'Task Management', 'Integration & Sync'], 'Summary': 'Customer struggles with CSV import.'}","['Data Export & Import', 'Task Management', 'Integration & Sync']",Customer struggles with CSV import.,"{""first_response"": ""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we are treating this as urgent. We'll work to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
40,TF-2024-041,I have been waiting 5 days for a response to my support ticket TF-2024-015. Our team is still experiencing issues and the lack of response is unacceptable for a paid enterprise customer.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Escalation"", ""Account Management"", ""Task Management""], ""Summary"" : ""Customer awaits support response.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Escalation', 'Account Management', 'Task Management'], 'Summary': 'Customer awaits support response.'}","['Escalation', 'Account Management', 'Task Management']",Customer awaits support response.,"{""first_response"":""Sorry for the frustration and delay. We understand this issue falls under Technical Support & Bugs and we're treating it as urgent. We're working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
41,TF-2024-042,Can TaskFlow add budget tracking to projects? We need to track planned versus actual spend for each project. Currently we manage this in a separate spreadsheet which creates a lot of manual work.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Neutral"" }","{ ""Tags"" : [""Feature Request"", ""Task Management"", ""Account Management""], ""Summary"" : ""Customer requests budget tracking.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Neutral'},Neutral,"{'Tags': ['Feature Request', 'Task Management', 'Account Management'], 'Summary': 'Customer requests budget tracking.'}","['Feature Request', 'Task Management', 'Account Management']",Customer requests budget tracking.,"{""first_response"":""Thank you for sharing your feedback. We understand this is a Feature Requests & Feedback issue. A Product Specialist will review your request within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
42,TF-2024-043,My dashboard is showing tasks assigned to a colleague who left our organization six months ago. I have deactivated their account but their tasks still appear in my view. How do I reassign these cleanly?,"{ ""category"" : ""How-to & Guidance"" }","{ ""priority"" : ""P3"", ""ETA"": ""Within 24 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Task Management"", ""Account Management"", ""Permissions & Access""], ""Summary"" : ""User sees old colleague's tasks.""}",{'category': 'How-to & Guidance'},How-to & Guidance,"{'priority': 'P3', 'ETA': 'Within 24 hours'}",P3,Within 24 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Task Management', 'Account Management', 'Permissions & Access'], 'Summary': ""User sees old colleague's tasks.""}","['Task Management', 'Account Management', 'Permissions & Access']",User sees old colleague's tasks.,"{""first_response"":""Sorry for the frustration caused. We understand this is a How-to & Guidance issue. We're working on it and expect to resolve it within 24 hours. Warm regards, TaskFlow Customer Success Team""}"
43,TF-2024-044,The mobile app is not syncing with the web app. Tasks I complete on my phone still show as incomplete on my laptop. I have tried logging out and back in on both devices but the issue persists.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Mobile App"", ""Integration & Sync"", ""Desktop App""], ""Summary"" : ""Customer's app is not syncing.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Mobile App', 'Integration & Sync', 'Desktop App'], 'Summary': ""Customer's app is not syncing.""}","['Mobile App', 'Integration & Sync', 'Desktop App']",Customer's app is not syncing.,"{""first_response"":""Sorry for the inconvenience. We understand this is a Technical Support & Bugs issue. We're treating this as urgent and are working to resolve it. Expect an update within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
44,TF-2024-045,We are a nonprofit organization. Do you offer discounted pricing for nonprofits? We are currently evaluating TaskFlow versus competitors and pricing is an important factor in our decision.,"{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Neutral"" }","{ ""Tags"" : [""Account Management"", ""Billing & Payment"", ""Plan Upgrade / Downgrade""], ""Summary"" : ""Customer inquires about nonprofit pricing.""}",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Neutral'},Neutral,"{'Tags': ['Account Management', 'Billing & Payment', 'Plan Upgrade / Downgrade'], 'Summary': 'Customer inquires about nonprofit pricing.'}","['Account Management', 'Billing & Payment', 'Plan Upgrade / Downgrade']",Customer inquires about nonprofit pricing.,"{""first_response"":""Thank you for considering TaskFlow. We understand this issue is related to Billing & Subscriptions. We're working on it and will get back to you within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
45,TF-2024-046,The board view is not loading for our largest project which has around 800 tasks. It just shows a loading spinner indefinitely. All our other smaller projects load fine. We use the board view daily.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Task Management"", ""Performance & Speed"", ""Desktop App""], ""Summary"" : ""Customer experiences loading issue.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Task Management', 'Performance & Speed', 'Desktop App'], 'Summary': 'Customer experiences loading issue.'}","['Task Management', 'Performance & Speed', 'Desktop App']",Customer experiences loading issue.,"{""first_response"":""Sorry for the inconvenience. We understand this issue is related to Technical Support & Bugs and we're treating this as urgent. We're working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
46,TF-2024-047,I received an email saying my account will be suspended due to non-payment but I set up autopay. My bank confirms the payment went through successfully. Please check your payment system and do not suspend my account.,"{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Billing & Payment"", ""Account Management"", ""Escalation""], ""Summary"" : ""Customer's account suspension issue.""}",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Billing & Payment', 'Account Management', 'Escalation'], 'Summary': ""Customer's account suspension issue.""}","['Billing & Payment', 'Account Management', 'Escalation']",Customer's account suspension issue.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Billing & Subscriptions and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
47,TF-2024-048,Please add keyboard shortcuts to TaskFlow. Power users on our team find constant mouse navigation very slow. Even basic shortcuts like creating a new task or marking complete would make a big difference.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Feature Request"", ""Task Management"", ""Desktop App""], ""Summary"" : ""Customer requests keyboard shortcuts.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Positive'},Positive,"{'Tags': ['Feature Request', 'Task Management', 'Desktop App'], 'Summary': 'Customer requests keyboard shortcuts.'}","['Feature Request', 'Task Management', 'Desktop App']",Customer requests keyboard shortcuts.,"{""first_response"":""Thank you for sharing your feedback. We understand this is a Feature Requests & Feedback issue. A Product Specialist will review your request within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
48,TF-2024-049,The workload view is showing incorrect capacity for team members. It shows some people at 200% capacity when they only have two tasks assigned. This is making resource planning impossible for our project managers.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Task Management"", ""Performance & Speed"", ""Account Management""], ""Summary"" : ""Team members show incorrect capacity.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Task Management', 'Performance & Speed', 'Account Management'], 'Summary': 'Team members show incorrect capacity.'}","['Task Management', 'Performance & Speed', 'Account Management']",Team members show incorrect capacity.,"{""first_response"":""Sorry for the inconvenience. We understand this is a Technical Support & Bugs issue. We're treating this as urgent and are working to resolve it. Expect a resolution within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
49,TF-2024-050,I cannot delete old tags from our workspace. The tag management settings page gives a 500 server error every time I try to delete a tag. Our tag list is cluttered with hundreds of outdated tags.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Tags Management"", ""Error""], ""Summary"" : ""User cannot delete old tags."" }",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Tags Management', 'Error'], 'Summary': 'User cannot delete old tags.'}","['Tags Management', 'Error']",User cannot delete old tags.,"{""first_response"": ""Sorry for the frustration. We understand this issue is related to Technical Support & Bugs and we're treating this as urgent. We're working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
